,Origin_airport,Destination_airport,Total_passengers,Total_departures,KMeansCluster
25706,OGG,HNL,32364612,394909,3
15625,HNL,OGG,29744742,389964,3
19159,LAX,HNL,28964154,140973,3
15606,HNL,LAX,28632161,135848,3
18874,LAS,LAX,26333721,291759,3
19179,LAX,LAS,26177809,296392,3
19268,LAX,SFO,25661782,324666,3
31994,SFO,LAX,25458207,311783,3
1990,ATL,MCO,23483751,162480,3
26439,ORD,LAX,22979359,185762,3
19228,LAX,ORD,22936415,180494,3
21675,MCO,ATL,22754168,157381,3
19176,LAX,JFK,22289567,166684,3
27631,PHX,LAS,21697391,231211,3
1900,ATL,DFW,21626001,202263,3
18226,JFK,LAX,21582405,166729,3
27633,PHX,LAX,21490581,258612,3
9576,DFW,ATL,21315212,197433,3
18928,LAS,PHX,21281657,228893,3
19234,LAX,PHX,21204804,256481,3
20095,LGA,ORD,20147022,214492,3
26446,ORD,LGA,19834394,209780,3
26537,ORD,SFO,18614521,126993,1
32037,SFO,ORD,18311167,127323,1
8923,DAL,HOU,17855661,197641,1
15751,HOU,DAL,17717480,210632,1
34795,TPA,ATL,17462127,127825,1
2086,ATL,TPA,17409235,128420,1
1922,ATL,FLL,17212233,117241,1
19965,LGA,ATL,17173288,145424,1
1977,ATL,LGA,17156648,145852,1
12427,FLL,ATL,17148742,118999,1
26363,ORD,DFW,16618226,186476,1
9701,DFW,LAX,16502303,134811,1
2023,ATL,ORD,16479809,173861,1
26302,ORD,ATL,16426251,170177,1
9756,DFW,ORD,16405044,181824,1
19115,LAX,DFW,16068593,137152,1
15641,HNL,SFO,16047844,68495,1
31977,SFO,HNL,15963958,68483,1
26479,ORD,MSP,15686177,233709,1
11856,EWR,ORD,15639429,189446,1
19982,LGA,BOS,15630422,235922,1
24624,MSP,ORD,15615489,233805,1
4585,BOS,LGA,15612064,234815,1
1998,ATL,MIA,15529183,131602,1
26380,ORD,EWR,15483356,182608,1
19221,LAX,OAK,15225696,189469,1
25527,OAK,LAX,15203865,192208,1
23115,MIA,ATL,15186192,128203,1
11693,EWR,ATL,15031721,152221,1
1915,ATL,EWR,15023406,152758,1
26323,ORD,BOS,14745833,150385,1
9381,DCA,LGA,14745621,219403,1
20010,LGA,DCA,14726036,219704,1
27714,PHX,SAN,14721976,157203,1
4625,BOS,ORD,14584621,153407,1
30672,SAN,PHX,14555621,161862,1
31614,SEA,LAX,14483122,152188,1
1673,ANC,SEA,14299272,144822,1
19267,LAX,SEA,14237570,150916,1
32070,SFO,SEA,14226706,152273,1
31515,SEA,ANC,14168426,148426,1
31990,SFO,JFK,14154457,108988,1
10623,DTW,ORD,14125565,148819,1
31691,SEA,SFO,14063217,152911,1
26370,ORD,DTW,13957432,150437,1
18304,JFK,SFO,13699769,108216,1
18810,LAS,DFW,13596789,102973,1
9699,DFW,LAS,13595587,100969,1
19068,LAX,ATL,13517870,75305,1
26503,ORD,PHX,13513776,107400,1
26361,ORD,DCA,13404475,157637,1
27283,PHL,ATL,13287369,142413,1
9405,DCA,ORD,13285576,157549,1
27683,PHX,ORD,13257674,106222,1
2032,ATL,PHL,13249044,137917,1
1970,ATL,LAX,13144214,73501,1
1861,ATL,BOS,13092014,103311,1
18922,LAS,ORD,12865445,93504,1
15603,HNL,ITO,12753744,170678,1
30787,SAT,DFW,12717893,133342,1
9684,DFW,IAH,12712782,182891,1
26437,ORD,LAS,12675145,93854,1
16493,IAH,DFW,12673101,181630,1
9763,DFW,PHX,12661902,125143,1
4478,BOS,ATL,12604462,98075,1
9790,DFW,SAT,12582689,129172,1
27438,PHL,ORD,12512148,158886,1
26502,ORD,PHL,12490719,156558,1
2275,AUS,DFW,12374809,129417,1
26535,ORD,SEA,12293399,98539,1
11830,EWR,MCO,12277114,99265,1
17698,ITO,HNL,12257764,161772,1
27563,PHX,DFW,12195703,120419,1
9578,DFW,AUS,12044669,127160,1
21730,MCO,EWR,11927252,98245,5
31660,SEA,ORD,11910877,94108,5
1964,ATL,JAX,11846918,100900,5
18963,LAS,SFO,11836319,116310,5
17924,JAX,ATL,11668352,98631,5
19272,LAX,SJC,11660997,166042,5
31993,SFO,LAS,11648707,116575,5
9290,DCA,ATL,11617027,116663,5
32587,SJC,LAX,11616097,165466,5
1897,ATL,DCA,11557164,115585,5
24499,MSP,DTW,11528072,101007,5
10610,DTW,MSP,11386479,94198,5
33745,STL,ORD,11287908,136237,5
26552,ORD,STL,11281189,135262,5
325,ABQ,PHX,11271129,132352,5
30699,SAN,SFO,11154962,119878,5
20012,LGA,DFW,11079660,109651,5
27503,PHX,ABQ,11040426,126706,5
32061,SFO,SAN,11002623,118942,5
21721,MCO,DFW,10950445,80030,5
20026,LGA,FLL,10826224,85710,5
9708,DFW,LGA,10814112,110697,5
23228,MIA,JFK,10705260,76953,5
18250,JFK,MIA,10679383,76553,5
12525,FLL,LGA,10651817,82989,5
26467,ORD,MIA,10635804,85620,5
9720,DFW,MCO,10579688,82023,5
23289,MIA,ORD,10485681,83342,5
19129,LAX,EWR,10440666,83874,5
27411,PHL,MCO,10424538,93227,5
21831,MCO,PHL,10337032,94436,5
9797,DFW,SFO,10219362,93979,5
32871,SLC,LAX,10158807,98024,5
26456,ORD,MCO,10086608,77461,5
2070,ATL,SLC,10075468,56305,5
2047,ATL,RDU,10064122,106666,5
19274,LAX,SLC,10029583,93955,5
24797,MSY,HOU,10017184,114560,5
1868,ATL,BWI,10010118,93454,5
13674,GEG,SEA,9958427,173194,5
1905,ATL,DTW,9948528,109746,5
15824,HOU,MSY,9948347,114758,5
18953,LAS,SAN,9936117,106909,5
31944,SFO,DFW,9921632,92260,5
29206,RDU,ATL,9892932,102485,5
11811,EWR,LAX,9875729,82122,5
2007,ATL,MSY,9870744,89189,5
30632,SAN,LAS,9868441,107101,5
31585,SEA,GEG,9838226,172193,5
24716,MSY,ATL,9829428,89601,5
10459,DTW,ATL,9814086,108251,5
23170,MIA,DFW,9809948,81827,5
32922,SLC,PHX,9797898,115832,5
21823,MCO,ORD,9788991,74875,5
5512,BWI,ATL,9741005,89951,5
16195,IAD,ATL,9728089,117658,5
27730,PHX,SLC,9726086,115011,5
1953,ATL,IAD,9701464,118406,5
26776,PBI,ATL,9690057,77433,5
19164,LAX,IAD,9658726,74826,5
2027,ATL,PBI,9520599,73684,5
16560,IAH,LAX,9517607,72458,5
9730,DFW,MIA,9511103,80176,5
26421,ORD,IAH,9493297,117839,5
32869,SLC,LAS,9490395,91852,5
16608,IAH,ORD,9489678,116950,5
18969,LAS,SLC,9416283,92615,5
27726,PHX,SFO,9369991,103032,5
19165,LAX,IAH,9349264,71991,5
16319,IAD,LAX,9310551,73595,5
18948,LAS,RNO,9272647,97167,5
9304,DCA,BOS,9252737,164907,5
27116,PDX,SEA,9251129,285317,5
23239,MIA,LGA,9238181,79830,5
27301,PHL,BOS,9234684,146783,5
24630,MSP,PHX,9224719,71312,5
31662,SEA,PDX,9224642,280390,5
32043,SFO,PHX,9195460,100516,5
4525,BOS,DCA,9173177,166114,5
10594,DTW,MCO,9163721,66856,5
9789,DFW,SAN,9163660,80311,5
4632,BOS,PHL,9144976,148810,5
29960,RNO,LAS,9085793,92602,5
21725,MCO,DTW,9069258,66618,5
32757,SLC,ATL,9042446,52395,5
20082,LGA,MIA,9025859,78206,5
21507,MCI,MDW,9002809,104348,5
27671,PHX,MSP,8965029,68609,5
22190,MDW,MCI,8930607,104956,5
1994,ATL,MEM,8884622,117501,5
12483,FLL,EWR,8856774,72701,5
11766,EWR,FLL,8847728,72858,5
9330,DCA,DFW,8835883,93280,5
7243,CLT,ATL,8797249,116270,5
30663,SAN,OAK,8795718,91802,5
22325,MEM,ATL,8787394,115761,5
11711,EWR,BOS,8682496,131445,5
9795,DFW,SEA,8669734,74990,5
9628,DFW,DCA,8666433,91653,5
4538,BOS,EWR,8665400,130863,5
20075,LGA,MCO,8622197,73356,5
21781,MCO,LGA,8613648,74795,5
24665,MSP,SEA,8612828,49690,5
31647,SEA,MSP,8592489,52144,5
1882,ATL,CLT,8586492,117166,5
25594,OAK,SEA,8550310,99298,5
25587,OAK,SAN,8507851,91573,5
27724,PHX,SEA,8452445,80123,5
1954,ATL,IAH,8447349,102095,5
18759,LAS,ATL,8446049,52126,5
31653,SEA,OAK,8418354,97926,5
18242,JFK,MCO,8318597,67131,5
30584,SAN,DFW,8289358,73925,5
31664,SEA,PHX,8282430,78253,5
24801,MSY,IAH,8281668,85985,5
24426,MSP,ATL,8271825,89109,5
16444,IAH,ATL,8270917,100616,5
31901,SFO,ATL,8240505,51759,5
16597,IAH,MSY,8231079,85274,5
2006,ATL,MSP,8209928,88424,5
33751,STL,PHX,8189968,80267,5
31563,SEA,DFW,8188143,73105,5
12515,FLL,JFK,8145626,63592,5
2033,ATL,PHX,8135720,63454,5
1968,ATL,LAS,8133243,48494,5
30782,SAT,DAL,8119343,96889,5
21771,MCO,JFK,8113885,66957,5
11793,EWR,IAH,8095563,66239,5
7039,CLE,ORD,8079465,123127,5
26343,ORD,CLE,8078455,123902,5
27515,PHX,ATL,8074703,64509,5
33161,SMF,LAX,8056899,97163,5
9007,DAL,SAT,8053755,97031,5
18179,JFK,FLL,8049633,63492,5
26527,ORD,SAN,8047190,70156,5
19276,LAX,SMF,8032504,96840,5
32041,SFO,PDX,8001202,99336,5
31613,SEA,LAS,7952387,70960,5
16507,IAH,EWR,7949552,65413,5
4527,BOS,DFW,7932703,78921,5
2065,ATL,SFO,7929127,52627,5
27117,PDX,SFO,7917881,97400,5
21415,MCI,DFW,7916476,90796,5
30668,SAN,ORD,7854273,70200,5
9718,DFW,MCI,7851206,90179,5
27738,PHX,STL,7827930,75086,5
11840,EWR,MIA,7827201,67021,5
10584,DTW,LGA,7816758,84148,5
31959,SFO,EWR,7810122,60385,5
20015,LGA,DTW,7776949,83834,5
30702,SAN,SJC,7731917,93264,6
5671,BWI,ORD,7728332,76383,6
33713,STL,MDW,7701025,101355,6
26332,ORD,BWI,7687539,76597,6
30944,SAV,ATL,7684142,80036,6
33709,STL,MCI,7676396,93949,6
26454,ORD,MCI,7668419,80416,6
23184,MIA,EWR,7656429,66084,6
9806,DFW,SNA,7642389,71716,6
21594,MCI,STL,7616311,94585,6
18961,LAS,SEA,7595073,69108,6
4595,BOS,MCO,7571387,66085,6
22254,MDW,STL,7552791,100597,6
9596,DFW,BOS,7521309,75933,6
21542,MCI,ORD,7505608,78677,6
21692,MCO,BOS,7496588,67352,6
24567,MSP,LAX,7492933,48771,6
2060,ATL,SAV,7474332,76655,6
24565,MSP,LAS,7462479,52417,6
32640,SJC,SAN,7455267,93263,6
8866,DAL,AUS,7452159,94966,6
11892,EWR,SFO,7447139,56622,6
19215,LAX,MSP,7420667,50583,6
18911,LAS,MSP,7405928,52088,6
10596,DTW,MDW,7392567,103030,6
33276,SNA,DFW,7379505,69499,6
11746,EWR,DFW,7354763,86152,6
21801,MCO,MIA,7351880,107853,6
33619,STL,DFW,7337194,94075,6
33364,SNA,SJC,7328235,94297,6
31980,SFO,IAD,7326365,47806,6
2271,AUS,DAL,7318925,94736,6
33626,STL,DTW,7317427,89640,6
9810,DFW,STL,7310614,94202,6
30827,SAT,IAH,7305417,77380,6
30705,SAN,SMF,7280570,76365,6
16399,IAD,SFO,7262570,51629,6
16613,IAH,PHX,7258885,69582,6
9803,DFW,SLC,7250086,67768,6
32654,SJC,SNA,7236921,93406,6
33208,SMF,SAN,7236494,76517,6
2037,ATL,PIT,7225076,88675,6
19224,LAX,OGG,7220762,35897,6
10666,DTW,STL,7220583,89625,6
28021,PIT,ATL,7214779,89173,6
22124,MDW,DTW,7190346,100737,6
19232,LAX,PDX,7183908,87975,6
11269,ELP,PHX,7168059,92111,6
9739,DFW,MSY,7160510,71920,6
16633,IAH,SAT,7159370,78157,6
24763,MSY,DFW,7143044,70214,6
34837,TPA,DFW,7142514,64338,6
7369,CLT,MCO,7135964,55558,6
27047,PDX,LAX,7131586,83688,6
32646,SJC,SEA,7131475,77529,6
31695,SEA,SJC,7105970,78109,6
32808,SLC,DFW,7091260,64629,6
28181,PIT,PHL,7091231,89074,6
1988,ATL,MCI,7089891,72686,6
27618,PHX,IAH,7087114,69397,6
9647,DFW,EWR,7061614,86112,6
19208,LAX,MIA,7053164,46269,6
23254,MIA,MCO,7044243,101128,6
21361,MCI,ATL,7011848,70942,6
25601,OAK,SNA,7005151,79991,6
33330,SNA,OAK,7002081,80516,6
23233,MIA,LAX,6987182,46311,6
7358,CLT,LGA,6984138,78064,6
26310,ORD,BDL,6977365,78927,6
32953,SLC,SEA,6937342,62498,6
27446,PHL,PIT,6922208,87505,6
28174,PIT,ORD,6913789,102560,6
9819,DFW,TPA,6913092,63621,6
21706,MCO,CLT,6910598,55492,6
27733,PHX,SNA,6906491,77137,6
9564,DFW,ABQ,6902784,70101,6
27574,PHX,ELP,6882780,95534,6
2936,BDL,ORD,6881190,78048,6
9738,DFW,MSP,6861234,91575,6
2077,ATL,STL,6851825,93203,6
24494,MSP,DFW,6835960,91334,6
26345,ORD,CLT,6831032,89772,6
26507,ORD,PIT,6811591,102503,6
33338,SNA,PHX,6810476,76557,6
33564,STL,ATL,6801066,92751,6
31696,SEA,SLC,6782041,58942,6
19997,LGA,CLT,6743527,76264,6
26546,ORD,SNA,6733053,57609,6
7397,CLT,ORD,6728674,88562,6
32027,SFO,MSP,6714478,47847,6
7402,CLT,PHL,6702539,69180,6
26501,ORD,PDX,6651190,53887,6
17453,IND,ORD,6633703,111462,6
27336,PHL,DFW,6619256,73988,6
25808,OKC,DFW,6610438,109013,6
9820,DFW,TUL,6602787,120114,6
232,ABQ,DFW,6588162,65710,6
35080,TUL,DFW,6586095,120487,6
5641,BWI,MCO,6583000,67901,6
27083,PDX,ORD,6575259,53543,6
33334,SNA,ORD,6562909,55949,6
21698,MCO,BWI,6544879,67598,6
9762,DFW,PHL,6538077,74514,6
27570,PHX,DTW,6532632,53118,6
18917,LAS,OAK,6521489,71332,6
27321,PHL,CLT,6519823,68712,6
9753,DFW,OKC,6481501,109763,6
19121,LAX,DTW,6476524,41914,6
18815,LAS,DTW,6471872,44480,6
20096,LGA,PBI,6451650,55793,6
19083,LAX,BOS,6441862,53188,6
5685,BWI,PVD,6430800,68494,6
32586,SJC,LAS,6419623,71295,6
28619,PVD,BWI,6401616,68488,6
4305,BNA,DFW,6392981,75263,6
26427,ORD,IND,6382395,108674,6
10576,DTW,LAS,6382278,44372,6
8623,CVG,ORD,6380224,126367,6
16640,IAH,SFO,6376183,56722,6
18868,LAS,JFK,6370236,47805,6
26355,ORD,CVG,6369423,127320,6
10630,DTW,PHX,6363805,50411,6
22204,MDW,MSP,6356579,80228,6
2310,AUS,IAH,6352423,71765,6
8466,CVG,ATL,6349436,65454,6
18859,LAS,IAH,6335126,48572,6
25525,OAK,LAS,6335070,71097,6
35416,TUS,PHX,6324660,100819,6
18224,JFK,LAS,6324409,47824,6
24667,MSP,SFO,6319588,43866,6
9800,DFW,SJC,6298618,61442,6
9641,DFW,ELP,6297395,75929,6
16558,IAH,LAS,6287710,48930,6
1877,ATL,CHS,6278208,69233,6
10515,DTW,DFW,6275076,79339,6
4579,BOS,LAX,6270261,52074,6
6496,CHS,ATL,6257575,68546,6
16362,IAD,ORD,6241870,65953,6
27729,PHX,SJC,6235960,72831,6
31915,SFO,BOS,6235855,47869,6
31981,SFO,IAH,6234123,56241,6
26836,PBI,LGA,6231167,51926,6
4564,BOS,IAD,6219949,86747,6
9595,DFW,BNA,6216685,75127,6
9637,DFW,DTW,6215862,78733,6
24591,MSP,MDW,6197725,77862,6
25570,OAK,PHX,6189484,73377,6
10577,DTW,LAX,6174946,41802,6
16336,IAD,MCO,6164168,59956,6
23168,MIA,DCA,6160743,62798,6
18967,LAS,SJC,6160154,68003,6
3550,BHM,ATL,6150266,64895,6
11156,ELP,DFW,6145656,73614,6
27753,PHX,TUS,6134617,98722,6
16221,IAD,BOS,6130446,85399,6
4662,BOS,SFO,6129554,46898,6
16446,IAH,AUS,6121567,69844,6
27677,PHX,OAK,6107310,72681,6
12473,FLL,DFW,6106272,51766,6
32918,SLC,ORD,6105550,64405,6
1891,ATL,CVG,6097949,65616,6
9394,DCA,MIA,6084819,61946,6
30633,SAN,LAX,6069917,216050,6
26808,PBI,EWR,6056114,48379,6
10532,DTW,EWR,6054941,90740,6
33361,SNA,SFO,6054350,78476,6
11751,EWR,DTW,6046208,91506,6
11859,EWR,PBI,6043437,48517,6
21761,MCO,IAD,6042379,59212,6
10478,DTW,BOS,6030793,55215,6
1852,ATL,BHM,6024808,66450,6
12610,FLL,TPA,6020150,78628,6
32625,SJC,PHX,6014132,69482,6
26420,ORD,IAD,5998173,63910,6
26543,ORD,SLC,5971650,63439,6
32079,SFO,SNA,5967006,77343,6
7259,CLT,BOS,5957560,59649,6
15853,HOU,SAT,5949427,77715,6
4530,BOS,DTW,5946204,54936,6
1860,ATL,BNA,5945218,69716,6
26346,ORD,CMH,5923942,93477,6
34849,TPA,FLL,5920169,78905,6
9653,DFW,FLL,5918809,52935,6
32542,SJC,DFW,5902050,58362,6
4257,BNA,ATL,5878400,68347,6
25710,OGG,LAX,5870916,32038,6
4511,BOS,CLT,5864956,57070,6
7636,CMH,ORD,5859922,92666,6
7266,CLT,BWI,5846045,62272,6
9822,DFW,TUS,5812778,62319,6
8666,CVG,SLC,5810619,36889,6
2038,ATL,PNS,5802727,68184,6
34925,TPA,PHL,5793118,54432,6
7445,CLT,TPA,5781956,50264,6
5550,BWI,CLT,5767310,61049,6
26515,ORD,RDU,5767149,68452,6
29350,RDU,ORD,5762896,69147,6
34824,TPA,CLT,5753260,50667,6
2307,AUS,HOU,5751756,76063,6
32622,SJC,ORD,5749315,59388,6
21762,MCO,IAH,5746508,42904,6
28300,PNS,ATL,5733450,67797,6
23132,MIA,BOS,5725039,40549,6
4602,BOS,MIA,5704675,40548,6
33694,STL,LAX,5694380,42055,6
30824,SAT,HOU,5675328,82561,6
34918,TPA,ORD,5671031,48875,6
16579,IAH,MCO,5670267,42986,6
26561,ORD,TPA,5664231,49675,6
26541,ORD,SJC,5649674,56354,6
31517,SEA,ATL,5647483,33636,6
27685,PHX,PDX,5641041,59253,6
28062,PIT,CLT,5620298,64027,6
32800,SLC,CVG,5617984,36876,6
19257,LAX,SAN,5616254,215026,6
7307,CLT,EWR,5616182,79069,6
22099,MDW,CLE,5613091,79567,6
19280,LAX,STL,5598080,42006,6
7013,CLE,MDW,5591116,79342,6
35313,TUS,DFW,5582456,61026,6
27491,PHL,TPA,5576499,53909,6
11730,EWR,CLT,5564430,78240,6
32623,SJC,PDX,5559256,71550,6
27087,PDX,PHX,5550580,58880,6
27732,PHX,SMF,5547409,59654,6
24601,MSP,MKE,5546185,61650,6
5548,BWI,CLE,5537867,71929,6
7406,CLT,PIT,5536376,62965,6
32920,SLC,PDX,5531845,51227,6
27120,PDX,SJC,5531596,71821,6
29255,RDU,DFW,5528084,55632,6
14698,GSO,ATL,5510253,73756,6
6908,CLE,BWI,5498405,72064,6
9613,DFW,CLT,5492278,67186,6
19233,LAX,PHL,5480615,46837,6
7295,CLT,DFW,5480376,66793,6
12567,FLL,PHL,5473375,49754,6
11910,EWR,TPA,5465152,47615,6
34845,TPA,EWR,5453156,47964,6
23637,MKE,MSP,5448987,61454,6
27352,PHL,FLL,5448899,49957,6
34840,TPA,DTW,5448462,43559,6
10629,DTW,PHL,5447688,82092,6
33195,SMF,PHX,5447665,58957,6
21835,MCO,PIT,5433479,48121,6
25568,OAK,PDX,5425119,72664,6
10512,DTW,DCA,5423106,66810,6
33711,STL,MCO,5416276,47897,6
10674,DTW,TPA,5412457,43661,6
1942,ATL,GSO,5412408,73886,6
28151,PIT,MCO,5410880,47400,6
33213,SMF,SEA,5399119,59565,6
15639,HNL,SEA,5393448,23114,6
21865,MCO,STL,5391226,48210,6
9779,DFW,RDU,5370115,57017,6
16588,IAH,MIA,5356427,59944,6
31698,SEA,SMF,5329281,59327,6
21549,MCI,PHX,5322432,57131,6
23218,MIA,IAH,5317479,60538,6
1847,ATL,BDL,5315703,42481,6
27340,PHL,DTW,5300852,81072,6
27077,PDX,OAK,5289804,72420,6
15720,HOU,AUS,5289159,74978,6
21808,MCO,MSP,5281080,36647,6
2822,BDL,ATL,5264873,44248,6
35365,TUS,LAX,5259512,65238,6
22505,MEM,MSP,5251580,58465,6
24588,MSP,MCO,5248929,36564,6
18823,LAS,EWR,5246883,36091,6
29610,RIC,ATL,5224537,58806,6
27653,PHX,MCI,5220529,56989,6
32955,SLC,SFO,5217456,64571,6
9333,DCA,DTW,5214129,64014,6
7292,CLT,DCA,5198092,62586,6
19290,LAX,TUS,5194220,64708,6
31597,SEA,HNL,5192250,22822,6
11810,EWR,LAS,5186611,36225,6
9053,DAY,ATL,5161093,60291,6
24454,MSP,BOS,5158076,42258,6
20049,LGA,IAH,5156508,56275,6
9318,DCA,CLT,5154436,62747,6
27392,PHL,LAX,5137337,43974,6
7313,CLT,FLL,5132734,43497,6
4609,BOS,MSP,5115141,41710,6
1597,ANC,FAI,5108713,99504,6
16567,IAH,LGA,5100500,56140,6
18896,LAS,MDW,5098633,43930,6
15869,HOU,STL,5097286,65055,6
27121,PDX,SLC,5096547,48096,6
32076,SFO,SLC,5094563,65203,6
33670,STL,HOU,5094500,65657,6
22175,MDW,LAS,5076450,43476,6
12534,FLL,MCO,5065310,70029,6
12460,FLL,CLT,5054283,42853,6
1895,ATL,DAY,5048530,58074,6
5373,BUF,ORD,5047321,71136,6
1992,ATL,MDW,5034829,66365,6
24592,MSP,MEM,5030696,58187,6
5565,BWI,DFW,5024311,45419,6
11946,FAI,ANC,5022268,95547,6
22066,MDW,ATL,5017709,66141,6
33730,STL,MSP,5008780,94390,6
2049,ATL,RIC,5007123,56059,6
26331,ORD,BUF,5002381,71617,6
9603,DFW,BWI,5002019,46004,6
24681,MSP,STL,4999119,94532,6
1883,ATL,CMH,4986709,52216,6
31681,SEA,RNO,4974938,53126,6
18971,LAS,SMF,4949930,50584,6
20221,LIT,DFW,4929564,83852,6
1960,ATL,IND,4921973,58202,6
30029,RNO,SEA,4899846,53029,6
21735,MCO,FLL,4888363,70943,6
9709,DFW,LIT,4878670,83856,6
4575,BOS,JFK,4872666,111968,6
19199,LAX,MCO,4865546,34803,6
5532,BWI,BOS,4861513,76744,6
30543,SAN,ATL,4855636,32214,6
33160,SMF,LAS,4855535,50482,6
18137,JFK,BOS,4820386,111374,2
4501,BOS,BWI,4818744,76749,2
26495,ORD,OMA,4810636,67080,2
10597,DTW,MEM,4809788,57503,2
23648,MKE,ORD,4806713,108717,2
27517,PHX,AUS,4803017,52716,2
33591,STL,BWI,4799158,50189,2
27578,PHX,EWR,4793137,41410,2
5718,BWI,STL,4783459,50064,2
11863,EWR,PHX,4770991,42071,2
22396,MEM,DTW,4761146,54782,2
20087,LGA,MSP,4743884,49227,2
9399,DCA,MSP,4741835,47876,2
24492,MSP,DCA,4717088,46481,2
20100,LGA,PIT,4714777,62069,2
2063,ATL,SEA,4712982,29560,2
17278,IND,ATL,4712936,57620,2
23298,MIA,PHL,4712080,49879,2
26322,ORD,BNA,4710341,71046,2
26193,OMA,ORD,4704732,63808,2
33312,SNA,LAS,4668797,58724,2
31685,SEA,SAN,4665791,44163,2
32034,SFO,OGG,4663464,20853,2
22192,MDW,MCO,4658744,41708,2
21775,MCO,LAX,4653701,34735,2
35640,TYS,ATL,4649669,59288,2
8940,DAL,LBB,4645176,62373,2
27420,PHL,MIA,4633379,47455,2
26470,ORD,MKE,4629144,108310,2
7378,CLT,MIA,4627703,48545,2
19325,LBB,DAL,4622398,55732,2
30698,SAN,SEA,4621822,44034,2
24574,MSP,LGA,4614462,49363,2
2363,AUS,PHX,4609529,52391,2
12559,FLL,ORD,4607322,38299,2
28696,PVD,ORD,4602874,50739,2
16254,IAD,DFW,4597086,54446,2
6884,CLE,ATL,4591783,73971,2
5856,CAE,ATL,4584773,65595,2
28139,PIT,LGA,4581771,60685,2
21794,MCO,MDW,4580572,41445,2
4405,BNA,ORD,4573254,70693,2
26511,ORD,PVD,4572698,52089,2
26386,ORD,FLL,4568458,38424,2
4380,BNA,MDW,4557611,55449,2
5572,BWI,DTW,4550245,50113,2
29356,RDU,PHL,4543408,68587,2
9683,DFW,IAD,4543295,54710,2
5726,BWI,TPA,4517783,48571,2
15718,HOU,ATL,4517470,59622,2
1951,ATL,HOU,4504619,59866,2
23153,MIA,CLT,4503008,48340,2
9760,DFW,PDX,4500655,42289,2
9679,DFW,HOU,4497718,99811,2
34814,TPA,BWI,4490593,48038,2
10485,DTW,BWI,4486399,50197,2
1871,ATL,CAE,4486287,64548,2
27457,PHL,RDU,4483337,68654,2
10477,DTW,BNA,4474144,60736,2
7499,CMH,ATL,4462526,45232,2
1880,ATL,CLE,4452626,69076,2
2058,ATL,SAN,4449499,29013,2
10654,DTW,SEA,4448160,30322,2
30738,SAT,ATL,4445821,47883,2
4309,BNA,DTW,4442487,60630,2
31566,SEA,DTW,4438670,27615,2
18972,LAS,SNA,4434967,57247,2
32042,SFO,PHL,4431827,38046,2
2093,ATL,TYS,4418999,58582,2
15755,HOU,DFW,4417876,99601,2
24262,MSN,ORD,4417333,102636,2
27123,PDX,SMF,4415434,58977,2
5648,BWI,MHT,4413610,44695,2
26996,PDX,DFW,4404587,43261,2
6977,CLE,IAH,4402390,44093,2
8854,DAL,ABQ,4399564,47284,2
16476,IAH,CLE,4397525,44386,2
34879,TPA,JFK,4395129,37535,2
23547,MKE,DTW,4389250,49717,2
22993,MHT,BWI,4376595,44654,2
33193,SMF,PDX,4373098,58730,2
2059,ATL,SAT,4373034,47874,2
22086,MDW,BNA,4367305,55196,2
14632,GRR,ORD,4362237,83448,2
24508,MSP,EWR,4349240,62088,2
10602,DTW,MKE,4343445,47440,2
26477,ORD,MSN,4340679,102510,2
11847,EWR,MSP,4339189,62406,2
26369,ORD,DSM,4335965,80050,2
27046,PDX,LAS,4330218,43674,2
10562,DTW,IAH,4325727,47214,2
30282,ROC,ORD,4324726,69992,2
22386,MEM,DFW,4320983,86506,2
18926,LAS,PDX,4306936,43731,2
18927,LAS,PHL,4301140,32922,2
18325,JFK,TPA,4300010,37497,2
12442,FLL,BOS,4282294,36287,2
5643,BWI,MDW,4277778,46139,2
26404,ORD,GRR,4274339,82763,2
17500,IND,STL,4265745,59090,2
230,ABQ,DAL,4262018,45176,2
26522,ORD,ROC,4261369,70095,2
16499,IAH,DTW,4257054,47295,2
4636,BOS,PIT,4244842,52212,2
22091,MDW,BWI,4243254,45963,2
35076,TUL,DAL,4230360,55213,2
18975,LAS,STL,4229417,35581,2
33693,STL,LAS,4225448,35701,2
10536,DTW,FLL,4219892,36384,2
27390,PHL,LAS,4218819,32963,2
7614,CMH,MDW,4216656,52606,2
12478,FLL,DTW,4216210,36274,2
33681,STL,IND,4210868,58606,2
9364,DCA,IAH,4207350,49889,2
7347,CLT,JAX,4205063,45156,2
16492,IAH,DCA,4201149,50145,2
16638,IAH,SEA,4192940,32237,2
10656,DTW,SFO,4190380,30706,2
29239,RDU,CLT,4186674,59735,2
4541,BOS,FLL,4181036,34445,2
24672,MSP,SLC,4180971,50647,2
17954,JAX,CLT,4179609,44919,2
31601,SEA,IAH,4179082,32440,2
10391,DSM,ORD,4175824,73502,2
11866,EWR,PIT,4174913,79757,2
22102,MDW,CMH,4174288,52753,2
9724,DFW,MEM,4172644,85839,2
34872,TPA,IAH,4171042,37283,2
7414,CLT,RDU,4165629,60262,2
9027,DAL,TUL,4156073,55060,2
16632,IAH,SAN,4145295,33916,2
23908,MOB,ATL,4142157,55333,2
26305,ORD,AUS,4133001,53225,2
27373,PHL,IAH,4131138,51210,2
